# Recording: BulletGBA
# Date: 2026-04-21T05:02:33.154Z
# Format: <frame> <keys_hex>
0 0000
56 0080
63 0000
81 0040
88 0000
99 0020
105 0000
113 0001
120 0000
156 0040
167 0000
178 0040
188 0000
205 0040
213 0000
286 0080
295 0000
300 0080
352 0000
417 0040
426 0000
436 0040
445 0000
454 0040
462 0000
488 0040
496 0000
521 0040
529 0000
546 0040
556 0000
640 0080
649 0000
669 0080
692 0000
726 0080
733 0000
751 0080
757 0000
782 0040
789 0000
796 0040
804 0000
813 0040
821 0000
826 0040
833 0000
918 0040
941 0000
977 0080
986 0000
1018 0040
1038 0000
1079 0040
1087 0000
1162 0080
1218 0000
1325 0040
1332 0000
1342 0040
1362 0000
1394 0080
1402 0000
1419 0040
1442 0000
1480 0080
1499 0000
1509 0080
1538 0000
1610 0040
1620 0000
1627 0040
1671 0000
1699 0080
1723 0000
1756 0080
1765 0000
1790 0080
1797 0000
1826 0040
1857 0000
1898 0080
1906 0000
1941 0040
1969 0000
1997 0040
2003 0000
2075 0080
2129 0000
2142 0080
2153 0000
2195 0080
2202 0000
2218 0080
2238 0000
2362 0040
2372 0000
2390 0040
2399 0000
2410 0040
2430 0000
2524 0080
2531 0000
2552 0080
2571 0000
2650 0001
2658 0000
2685 0020
2692 0000
2715 0001
2723 0000
2780 0010
2786 0000
2797 0080
2798 0090
2800 0080
2812 0090
2826 0010
2827 0000
2844 0040
2857 0050
2861 0010
2866 0000
2886 0040
2893 0000
2901 0040
2920 0000
2934 0020
2951 0000
2955 0040
2964 0050
2982 0000
3000 0080
3003 0090
3022 0080
3023 0000
3043 0010
3046 0050
3054 0000
3064 0020
3087 00a0
3125 0080
3127 0090
3129 0010
3139 0050
3145 0040
3146 0000
3158 0040
3163 0050
3195 0010
3196 0000
3216 0040
3218 0050
3251 0010
3252 0000
3277 0010
3279 0050
3287 0010
3299 0090
3306 0080
3315 0000
3319 0080
3346 0000
3354 0020
3403 00a0
3413 0020
3466 00a0
3477 0080
3497 0090
3500 0010
3503 0000
3537 0040
3542 0050
3556 0040
3562 0020
3581 0060
3586 0040
3593 0050
3624 0010
3626 0000
3629 0040
3632 00c0
3634 0080
3637 00c0
3645 00e0
3646 0060
3647 0020
3652 00a0
3689 0080
3697 0090
3712 0010
3718 0050
3722 0040
3743 0050
3745 0070
3746 0060
3747 0020
3754 0000
3764 0080
3778 0000
3811 0040
3821 0000
3831 0040
3848 0060
3852 0020
3871 00a0
3876 0080
3881 0090
3913 0080
3917 0000
3925 0040
3933 0050
3953 0010
3956 0000
3962 0080
3983 0090
3987 0010
3996 0000
4002 0040
4011 0020
4019 0060
4027 0020
4063 0000
4077 0080
4097 00a0
4108 0020
4120 0060
4124 0040
4125 0050
4157 0040
4158 0000
4165 0020
4180 00a0
4184 0080
4188 0090
4207 0010
4210 0000
4214 0040
4232 0060
4234 0020
4251 0000
4284 0080
4289 0000
4301 0040
4315 0000
4329 0020
4331 0060
4344 0040
4345 0050
4359 0010
4366 0090
4371 0080
4402 0000
# Total frames: 4467
