# Recording: piuGBA
# Date: 2026-04-17T21:47:41.933Z
# Format: <frame> <keys_hex>
0 0000
79 0001
89 0000
148 0200
158 0000
169 0100
176 0000
201 0020
209 0000
230 0002
239 0000
269 0200
279 0000
280 0100
289 0000
293 0020
303 0000
320 0001
329 0000
346 0002
353 0000
501 0040
510 0000
630 0004
639 0000
741 0001
751 0000
832 0001
843 0000
878 0020
886 0000
904 0040
914 0000
945 0010
956 0000
975 0010
984 0000
1008 0010
1016 0000
1023 0010
1030 0000
1053 0010
1062 0000
1100 0010
1109 0000
1129 0001
1140 0000
1167 0001
1176 0000
1410 0200
1420 0000
1423 0100
1432 0000
1510 0200
1518 0000
1667 0001
1676 0000
1718 0020
1727 0000
1736 0020
1743 0000
1745 0020
1753 0000
1757 0020
1763 0000
1766 0020
1772 0000
1777 0020
1782 0000
1793 0020
1800 0000
1806 0020
1812 0000
1827 0020
1836 0000
1847 0010
1856 0000
# Total frames: 1937
