# Recording: Spout
# Date: 2026-04-17T20:24:41.371Z
# Format: <frame> <keys_hex>
0 0000
79 0001
89 0000
135 0001
141 0000
241 0001
254 0000
470 0001
482 0000
528 0050
564 0000
618 0001
813 0000
846 0001
854 0000
895 0010
934 0000
953 0080
978 0000
981 0020
1007 0060
1016 0040
1042 0051
1045 0001
1054 0000
1061 0001
1064 0000
1085 0001
1090 0000
1108 0020
1119 0021
1132 0000
1148 0010
1165 0000
1175 0010
1179 0000
1201 0020
1206 0000
1225 0001
1397 0021
1402 0001
1456 0011
1463 0001
1476 0011
1485 0001
1517 0011
1524 0001
1586 0021
1619 0001
1654 0021
1663 0001
1702 0011
1734 0001
1749 0021
1757 0001
1766 0021
1773 0001
1783 0011
1793 0031
1794 0021
1809 0001
1821 0021
1830 0031
1832 0011
1866 0001
1883 0000
1921 0001
1929 0000
1988 0001
2002 0021
2018 0001
2040 0011
2057 0001
2082 0021
2086 0001
2106 0021
2132 0001
2133 0011
2139 0001
2142 0011
2198 0001
2224 0021
2241 0001
2247 0021
2266 0001
2287 0000
2303 0001
2309 0000
2350 0001
2365 0011
2386 0001
2404 0021
2423 0001
2463 0021
2480 0001
2507 0021
2519 0001
2533 0021
2538 0001
2677 0011
2714 0001
2724 0011
2732 0001
2740 0011
2754 0001
2783 0021
2796 0001
2808 0021
2817 0001
2840 0021
2864 0001
2870 0021
2878 0001
2891 0021
2923 0001
2939 0021
2952 0001
2980 0021
3032 0001
3042 0000
3159 0001
3171 0000
3200 0010
3243 0000
3259 0010
3283 0000
3292 0001
3303 0011
3324 0000
3334 0020
3364 0000
3381 0001
3402 0011
3411 0001
3460 0021
3477 0001
3512 0000
3540 0020
3567 0001
3597 0021
3601 0001
3671 0000
3691 0010
3736 0000
3738 0001
3797 0011
3806 0001
3834 0021
3843 0001
3858 0011
3876 0001
3890 0021
3902 0001
3913 0021
3923 0001
3948 0021
3961 0001
3968 0021
3975 0001
4002 0011
4012 0001
4030 0021
4042 0001
4153 0011
4166 0001
4180 0011
4184 0001
4193 0011
4215 0001
4245 0011
4260 0001
4281 0011
4293 0001
4320 0011
4327 0001
4443 0000
# Total frames: 4475
