# Recording: Waimanu
# Date: 2026-04-17T21:52:04.182Z
# Format: <frame> <keys_hex>
0 0000
129 0001
137 0000
907 0001
913 0000
1070 0020
1096 0000
1123 0020
1157 0000
1172 0080
1203 00a0
1209 0020
1223 00a0
1226 0080
1235 00a0
1237 0020
1257 0000
1290 0040
1333 0000
1343 0010
1358 0050
1359 0040
1372 0050
1375 0010
1388 0000
1391 0080
1397 0000
1398 0001
1404 0000
1424 0010
1435 0000
1437 0080
1456 0000
1465 0040
1470 0000
1527 0020
1568 0000
1571 0040
1585 0060
1587 0020
1612 00a0
1633 0080
1652 00a0
1657 0020
1668 00a0
1673 0080
1681 0081
1684 0001
1689 0000
1697 0040
1724 0000
1734 0010
1742 0000
2061 0020
2097 0000
2111 0020
2129 0000
2136 0020
2181 0000
2200 0020
2249 00a0
2250 0080
2274 0090
2280 0010
2298 0000
2316 0001
2323 0000
2361 0080
2369 0000
2432 0010
2441 0000
2446 0020
2474 0060
2480 0040
2498 0050
2505 0010
2598 0000
2609 0040
2623 0050
2624 0010
2655 0000
2664 0020
2694 0001
2700 0000
2730 0001
2736 0000
2739 0001
2745 0000
2746 0001
2752 0000
2756 0080
2766 0000
2767 0001
2772 0000
2776 0001
2780 0000
2788 0040
2793 0050
2799 0010
2808 0050
2812 0040
2832 0060
2842 0020
2852 0021
2853 0001
2857 0000
2859 0001
2865 0000
2866 0080
2874 0081
2876 0001
2878 0000
2885 0040
2899 0060
2905 0020
2926 0000
2934 0080
2952 0000
2953 0020
2972 00a0
2977 0080
3004 0000
3006 0010
3020 0000
3024 0080
3031 0000
3042 0080
3047 0000
3057 0020
3124 00a0
3128 0080
3158 0000
3163 0010
3176 0000
3238 0080
3244 0000
3277 0001
3283 0000
3299 0020
3319 0000
3320 0040
3363 0050
3379 0010
3391 0011
3392 0001
3398 0000
3413 0010
3484 0050
3492 0040
3521 0060
3527 0020
3536 0000
3562 0080
3568 0000
3595 0001
3603 0000
3619 0010
3639 0000
3640 0020
3660 0000
3662 0080
3672 0090
3677 0010
3690 0000
3695 0080
3705 0000
3733 0020
3741 0000
3804 0001
3813 0000
# Total frames: 4086
